전통주명,가격,용량,주종,도수,단맛,신맛,바디감,향,청량감,균형감,목넘김,맛,잘 어울리는 음식,주원료,제조사
국순당 2010 첫술,"4,200",750ml,탁주,7,3,2.5,3,,3,,3,,,쌀,국순당
금정산성막걸리,"1,900",750ml,탁주,8,1,3,3,,2,,,,흑염소 불고기,"백미, 밀(누룩), 정제수",금정산성 토산주
기다림 16,"11,000",750ml,탁주,9,2,4,3,,2,,,,동래파전,"국내산 찹쌀, 국내산 흑미, 곡자, 정제수",제이케이크래프트
기다림 25,"9,900",750ml,탁주,8,2,4,2,,2,,,,매운 잡채,"국내산 백미, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트
기다림 34,"15,000",500ml,탁주,12,3,3,3,,3,,,,산미가 기름진 음식,"국내산 멥쌀, 국내산 찹쌀, 곡자, 정제수",제이케이크래프트
김포 막걸리,"1,200",750ml,탁주,6,2,2,1,,3,,,,파전,"쌀, 누룩, 정제수",김포양조
까메오 막걸리,"5,000",550ml,탁주,6,3,1,2,,2,,,,샐러드,"정제수, 쌀, 효모, 누룩, 과당 등",낙천
꿀막걸리,"18,000",750ml,탁주,8,1,2,4,,3,,,,양념 갈비,"쌀(국내산), 벌꿀(국내산), 사과농축액, 효모, 정제효소",청산녹수
나루 생 막걸리 11.5도,"11,000",500ml,탁주,11.5,4,1,5,,1,,,,생크림 케익,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조
나루 생 막걸리 6도,"7,000",935ml,탁주,6,3,3,2,,2,,,,기름진 고기,"정제수, 쌀(국내산), 국, 효모(밀함유)",한강주조
느린마을 막걸리,"2,300",750ml,탁주,6,3,1,2,,3,,,,새우 소금구이,"쌀, 국, 효모, 정제수",배상면주가
다랭이팜 유자 막걸리,"4,000",750ml,탁주,6,1,5,2,,2,,,,아구포,"정제수, 유기농7분도쌀, 친환경유자원액, 혼합제과 누룩",농업회사법인 주식회사 다랭이팜
담은,"15,000",750ml,탁주,6.5,3,1,2,,1,,,,스테이크,"정제수, 쌀(국내산), 입국, 효모, 기타과당, 정제효소제",포천일동막걸리
대대포 막걸리,"2,500",750ml,탁주,6,3.5,2.5,2.5,,2.5,,2.5,,,쌀,담양죽향도가
대잎 생동동주 (단종),"2,500",1700ml,탁주,6,1,2,2,,3,,,,죽순무침,"국내산 쌀, 좁쌀, 정제효소, 젖산, 효모, 아스파탐, 영지, 생각, 정제수",죽향도가
대포막걸리,"1,500",425ml,탁주,7,4,2,3,,1,,2.5,,,국내산 쌀,배상면주가
도구 막걸리,"15,000",750ml,탁주,6,2,2,3,,3,,,,생선 조림,"밀(외국산), 쌀(국내산, 외국산), 물엿, 효모, 조제종국, 정제효소제, 아스파탐, 젖산",
도깨비술 11%,"12,000",750ml,탁주,11,4,4,5,,3,,,,"마늘 정식, 쏘가리 매운탕, 메기 매운탕, 나물 요리","정제수, 쌀, 국,효모",도깨비양조장
도깨비술 7,"8,000",750ml,탁주,7,3,3,3,,4,,,,"마늘 정식, 매운탕, 곤드레밥","국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장
도깨비술 9,"10,000",750ml,탁주,9,3,3,4,,3,,,,"쏘가리 매운탕, 메기 매운탕, 마늘 정식","국내산 멥쌀, 누룩, 효모, 정제수",도깨비양조장
동정춘,"18,000",500ml,탁주,8,4,3,3,,2,,,,"갈비찜, 단맛이 약간 있는 음식","쌀, 누룩, 정제수",농업회사법인㈜산수
동해동동주,"15,000",750ml,탁주,6,2,1,2,,3,,,,문어 숙회,쌀100%(포항쌀),동해명주
두유노 (단종),"6,000",600ml,탁주,6,2,3,3,,3,,,,"피자, 치킨, 떡볶이","국내산 찹쌀, 국내산 멥쌀, 누룩, 밀가루",디오케이브루어리
만강에 비친 달,"12,000",500ml,탁주,10,2,3,3,,3,,,,찌개,"홍천쌀, 단호박, 곡자(밀누룩)",예술주조
맑은내일 발효막걸리,"2,200",750ml,탁주,7,3,3,4,,3,,,,"함박 스테이크, 파스타","쌀(국내산), 누룩, 효소, 아스파탐, 정제수",
매실 막걸리,"3,500",750ml,탁주,7,3,2,1,,1,,,,더덕구이,"쌀, 매실과즙",백운주가
매실탁테일,"3,500",375ml,탁주,7,3.5,3.5,3.5,,1,,3,,,"국내산 백미, 매실천연과즙",배혜정도가
매화마름 호랑이 막걸리,"8,500",375ml,탁주,7,3,3,2.5,,2.5,,2.5,,,쌀,배혜정도가
미나리 생막걸리,"1,100",750ml,탁주,6,3,3,3,,3,,,,"미나리전, 무침","국내산 쌀, 국내산 무농약 미나리추출액",성포양조장
미담,"1,500",750ml,탁주,6,3,2.5,3,,3,,2.5,,,국내산 쌀,성광주조
미몽 (단종),"2,000",360ml,탁주,7,3.5,2,2.5,,1.5,,2.5,,,"국내산 쌀, 국내산 인삼",국순당
미생 막걸리,"1,100",750ml,탁주,6,2,3,3,,3,,,,"닭도리탕, 감자탕","국내산 쌀, 누룩, 효모, 정제효소, 정제수",김포금쌀탁주 영농조합법인
미소 생막걸리,"1,500",750ml,탁주,7,3,3,2,,3,,,,"대게, 홍게찜","쌀(국내산), 누룩, 정제수",울진술도가
미인탁주,"15,000",500ml,탁주,10,3,1,3,,1,,,,수육(돼지고기),"찹쌀, 누룩, 정제수",최행숙전통주가
바랑 탁,"18,000",375ml,탁주,15,4,2,4,,1,,,,불고기,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수",금계당
배꽃담은연,"20,000",720ml,탁주,10,3,3,3,,3,,,,"미나리전, 고기 빈대떡, 오이무침, 족편","쌀 26.1%, 효모 0.07%, 젖산 0.05%, 정제수 72.31%",술빚는전가네
백년향,"33,000",500ml,탁주,10,3,3,3,,2,,,,"조개찜, 전복구이, 담백한 요리","쌀,누룩,정제수",추연당
백련 생막걸리 misty (미스티),"3,000",750ml,탁주,7,2,3,4,,4,,,,양념한 생선찜,"백미, 정제수, 물엿, 과당, 누룩, 백련잎, 누룩 등",신평양조장
백련 생막걸리 snow (스노우),"1,600",750ml,탁주,6,2,2,2,,4,,,,숯불바베큐,"백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿 등",신평양조장
백련 생막걸리 snow(스노우),"1,600",750ml,탁주,6,2,2,2,,4,,,,숯불바베큐,"백미, 연잎, 정제수, 종국, 효모, 아스파탐, 물엿",
백자주,"18,000",500ml,탁주,10,3,3,3,,2,,,,"골뱅이무침, 소라무침","국내산 찹쌀, 멥쌀, 잣, 누룩, 정제수",농업회사법인㈜산수
병영설성 동동주,"2,500",1700ml,탁주,6,2,2,2,,3,,,,"묵은 김치 볶음, 담치국, 두부김치","쌀(국내산), 전분, 효모, 누룩, 정제수",병영양조장
병영설성 생막걸리,"3,500",750ml,탁주,6,3,2,2,,2,,,,"새우 간장 절임, 남도 한정식","쌀(국내산), 효모, 누룩, 정제수",병영양조장
복순도가 손막걸리,"12,000",935ml,탁주,6.5,2,3,2,,5,,,,생선 조림,"정제수, 쌀(국산), 곡자(밀), 물엿, 설탕, 아스파탐(감미료,페닐알라닌함유)",복순도가
복순도가 탁주,"12,000",935ml,탁주,6.5,2,3,2,,5,,,,생선 조림,"정제수, 쌀(국산), 곡자(밀)",복순도가
볼빨간막걸리 10,"7,000",500ml,탁주,10,1,5,4,,4,,,,양지수육무침,"찹쌀(국내산), 누룩, 정제수",농업회사법인 (주)벗드림
볼빨간막걸리 7,"5,000",500ml,탁주,7,1,4,2,,3,,,,오징어무침,"정제수, 찹쌀, 누룩",벗드림양조장
봉하쌀 생막걸리,"2,000",750ml,탁주,6,1,2,2,,3,,,,홍어무침,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인 (주)봉하마을
봉하쌀 생막걸리,"2,000",750ml,탁주,6,1,2,2,,3,,,,홍어무침,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",
부안참뽕막걸리,"2,000",950ml,탁주,6,2,1,3,,3,,,,장어 구이,"쌀(국내산) 오디과즙,스테비올배당체,스쿠랄로스",내변산(동진주조)
부자 10,"5,000",375ml,탁주,10,4,1,4,,1,,,,중국음식,경기미 100%,배혜정도가
부자 새색시,"3,000",500ml,탁주,9,3,3.5,2.5,,1,,3,,,"쌀, 누룩, 포도즙",배혜정도가
붉은 원숭이,"7,000",375ml,탁주,10.8,4,2,2,,2,,,,바비큐,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘
사미인주,"32,000",750ml,탁주,8,2,2,3,,4,,,,닭강정,"유기농 햅쌀, 벌꿀",청산녹수
산막 생유 막걸리,"1,200",750ml,탁주,6,1,3,2,,3,,,,닭갈비,"국내산 쌀, 소맥분, 종국, 효모",농업회사법인 신탄진주조(주)
산정호수 동정춘막걸리,"20,000",720ml,탁주,6,5,1,4,,4,,,,떡,"국내산 쌀, 누룩, 정제수",(주)농업회사법인 술빚는 전가네
삼선,"15,000",500ml,탁주,10,1,4,2,,2,,,,녹두전,"국내산쌀, 누룩, 정제수",농업회사법인 두루(주)
생 쌀 솔바람 생막걸리,"2,000",500ml,탁주,6,3,2.5,3,,3,,2.5,,,국내산 쌀,조선양조
생 청주 막걸리,"1,500",750ml,탁주,6,2,1,3,,3,,,,더덕구이,"쌀, 소맥분, 국, 조제종국, 효모, 물엿 등",조은술 세종
생탁주,"12,000",750ml,탁주,6,1,3,3,,3,,,,"닭도리탕, 양념된 고기류","쌀, 올리고당, 사과농축액, 아스파탐, 효모, 정제수",청산녹수
석탄주 탁주,"6,000",500ml,탁주,15,2,3,4,,3,,,,샐러드,"국내산 찹쌀, 누룩, 정제수",케이소주
선운산의 아침 복분자 막걸리,"28,000",750ml,탁주,6,2,2,2,,1,,,,양념을 강하게 하지 않은 생선찜,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",국순당고창명주㈜
선운산의 아침 복분자막걸리,"28,000",750ml,탁주,6,2,2,2,,1,,,,생선찜,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수",
선호 생막걸리,"1,700",750ml,탁주,6,2,3,3,,3,,,,"달콤하고 매운 음식, 닭도리탕, 감자탕","국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수",김포금쌀탁주영농조합법인
설성 만월 막걸리,"4,000",750ml,탁주,6,2,3,3,,2,,,,새우 간장 절임,"정제수, 유기농쌀국내산, 누룩, 유기농올리고당 등",병영주조장
설하담,"7,400",950ml,탁주,8,3,1,2,,4,,,,양념된 돼지고기,"국내산 멥쌀 100%, 개량 누룩, 정제수, 이산화탄소",리큐랩주식회사
성포 생막걸리,"1,100",750ml,탁주,6,3,3,3,,3,,,,"미나리전, 무침","쌀(국내산), 소맥분(미국산), 전분당, 정제수, 무농약 미나리추출액, 정제효소, 종국, 효모, 아스파탐",성포양조장
세종 쌀막걸리,"1,500",750ml,탁주,6,3,1,3,,3,,,,육회,국내산 쌀,조은술 세종
세종 오가닉,"9,000",375ml,탁주,13,1,3,1,,,,3,,생선찜,"정제수, 유기농 백미, 국, 효모, 정제효소, 구연산",조은술 세종
세종대왕어주 탁주,"16,900",500ml,탁주,13,3,3,2,,1,,,,매운 갈비찜,"쌀(국내산), 누룩, 정제수",장희
세종청주생막걸리,"1,500",750ml,탁주,6,3,2.5,3,,1,,3,,,"쌀, 소맥분",조은술 세종
소백산 검은콩 막걸리,"3,000",1500ml,탁주,6,3,1,3,,1,,,,두부요리,쌀,대강양조장
소백산 생 막걸리,"1,980",1700ml,탁주,6,2,3,2,,2,,,,버섯전골,쌀,대강양조장
소양강 생 막걸리,"1,200",750ml,탁주,6,1,3,3,,2,,,,황태구이,"백미, 소맥분, 정제수, 팽화미, 아스파탐, 물엿, 정제수","소양강도가(구, 천정양조장)"
솔청정막걸리,"2,000",750ml,탁주,6,3.5,2,3,,1,,3,,,국내산 쌀,조선양조
송명섭 막걸리,"3,000",500ml,탁주,6,1,3,3,,3,,,,"맵고 짠 한식, 고기","국내산쌀, 곡자, 정제수",태인합동주조장
술공방 9.0 막걸리,"5,000",500ml,탁주,9,3,2,3,,1,,,,무침류,"정제수, 쌀(국내산), 국(쌀, 국내산), 누룩(밀)",아리랑주조
술그리다 생탁주,"9,000",500ml,탁주,10,2,1,1,,1,,,,"백숙, 양념되지 않은 음식","국내산쌀, 누룩",좋은술
술아 핸드메이드 막걸리,"21,000",450ml,탁주,8,3,4,4,,3,,,,"샐러드, 두부","국내산 찹쌀, 누룩, 정제수",술아원
술예쁘다 생탁주,"18,000",500ml,탁주,13,1,3,2,,1,,,,홍어무침,"국내산 쌀, 누룩",좋은술
술취한 원숭이,"7,000",375ml,탁주,10.8,4,2,2,,2,,,,생선찜,"쌀(국내산 경기미 100%), 누룩, 홍국, 정제수",술샘
술헤는밤,"5,900",750ml,탁주,8,2,4,3,,2,,,,홍천 산나물 무침,"쌀(국내산), 누룩(국내산)",두루전통양조
아이싱 자몽,"5,000",350ml,탁주,4,3,1,3,,1,,,,케잌 같은 디저트 음식,"쌀, 자몽엑기스",국순당
아이원 막걸리,"1,000",750ml,탁주,6,3,3,2,,3,,,,"도토리묵, 겉절이, 나물","쌀, 밀, 입국, 누룩, 정제수",이원양조장
안양동동주,"1,100",1700ml,탁주,6,3,3,3,,3,,,,"매콤한 요리(꼬막무침, 닭볶음탕)","국내산 햅쌀, 국내산 친환경 햇찹쌀",안양주조장
야관문 쌀 막걸리,"1,500",750ml,탁주,6,1,3,1,,2,,,,야채 샐러드,"팽화미, 입국, 효모, 곡자(밀), 정제수, 야관문잎 줄기 추출액 등",지리산 운봉주조
양촌 생 동동주,"2,300",750ml,탁주,10,3,1,2,,2,,,,김치전,"정제수, 백미 효소제, 효모 등",양촌양조
양촌 생 막걸리,"30,000",750ml,탁주,6,2,3,2,,2,,,,두부에 겉절이 김치,"팽화미, 소맥분, 정제수, 물엿, 효소, 국 등",양촌양조
연천 아주,"6,000",750ml,탁주,8,4,4,4,,,4,,,"오징어초무침, 고등어김치찜, 연어포케","쌀(국내산), 누룩, 정제수",농업회사법인 연천양조㈜
영일만친구 막걸리,"15,000",750ml,탁주,6,2,2,2,,3,,,,우뭇가사리 무침,"국내산 쌀, 물엿, 우뭇가사리, 효모, 조제 종국, 정제효소제, 아스파탐, 젖산",동해명주
옛날막걸리 古,"2,700",750ml,탁주,8,2,2,2,,1,,,,오리주물럭,"국내산쌀, 누룩",국순당
오곡 진상주,,750ml,탁주,7,1,4,3,,3,,,,백설기,"쌀, 밀, 보리, 옥수수, 조 등",대강양조장
오매백주,"5,000",500ml,탁주,12,5,1,1,,1,,,,견과류,"쌀(국내산), 국, 효모, 정제수",
오미자 생막걸리,"2,500",750ml,탁주,6.5,2,3,2,,2,,,,소고기 구이,"정제수, 백미(국내산), 입국(쌀, 밀), 올리고당, 물엿, 허브(유기농), 오미자 2.4%(국내산, 문경로동산), 정제효소, 아스파탐·아세셀펌칼륨(함성감미료, 메닐알라닌 함유)",문경주조
오산 막걸리,"3,000",500ml,탁주,6,2,4,3,,2,,,,"홍어, 오징어","쌀(국내산), 국, 효모, 정제수",
오산막걸리,"3,000",500ml,탁주,6,2,4,3,,2,,,,"홍어무침, 오징어무침","쌀(국내산), 국, 효모, 정제수",농업회사법인 오산양조㈜
오희 스파클링 막걸리,"36,000",500ml,탁주,8.5,1,3,2,,3,,,,장어구이,"백미, 건오미자, 조효소제, 효모, 정제수",문경주조
왕피천을 품은 미소생막걸리,"1,200",750ml,탁주,7,3,3,2,,3,,,,"대게, 홍게찜","쌀, 누룩, 정제수",울진술도가
우곡생주,"6,500",750ml,탁주,10,4,2,5,,2,,,,불고기,"국내산 쌀, 누룩, 효모, 정제수",배혜정도가
우곡생주,"6,500",750ml,탁주,10,4,2,5,,2,,,,불고기,"쌀(국내산), 국, 효모, 정제수",
우렁이쌀 손 막걸리,"2,600",750ml,탁주,7.5,4,1,2,,3,,,,샐러드,국내산 쌀,양촌양조
우렁이쌀 손막걸리 DRY,"39,000",500ml,탁주,7.5,4,1,2,,3,,,,야채 샐러드,"정제수, 찹쌀(국내산), 쌀(국내산), 효모, 종국",양촌양조
우리밀 막걸리 향수,"7,900",700ml,탁주,9,2,3,5,,3,,,,"도리뱅뱅이, 도토리묵, 겉절이, 나물","쌀, 밀, 입국, 누룩, 정제수",이원양조장
울금생막걸리 정,"1,500",750ml,탁주,6,3,3.5,3,,3,,3,,,"국내산 쌀, 국내산 울금",영덕주조
월매 쌀막걸리(캔),"1,200",350ml,탁주,6,2,2,1,,3,,,,파전,"백미, 말토올리고당, 정제수",서울장수㈜
유자생막걸리,"1,800",750ml,탁주,5,2,3,1,,3,,,,식사(반주하기 좋은 술),"경기미 75%, 유자 국내산20% , 맥아당 5%",배혜정도가
율무 동동주,"14,000",750ml,탁주,14,2,4,4,,3,,,,온더록스로 한잔,"쌀(국내산), 누룩, 효모, 연천 율무, 정제수",농업회사법인 연천양조㈜
은자골 곶감 생 탁배기,"1,500",750ml,탁주,6,1,1,1,,3,,,,양념을 많이 하지 않은 생선회,"백미, 소맥분, 정제수, 곶감분말, 전분당, 국, 누룩, 효소, 아스파탐 등",은척 양조장
은자골 생 탁배기,"1,500",750ml,탁주,5,1,3,3,,3,,,,파전,국내산 쌀,은척양조장
이동 생 쌀 막걸리,"1,300",750ml,탁주,6,1,3,2,,3,,,,갈비찜,"정제수, 백미, 팽화미, 입국, 아스파탐 등",이동주조
이동 쌀 막걸리,"1,600",1200ml,탁주,6,3,1,3,,1,,,,도토리 묵,"정제수, 백미, 팽화미, 입국, 아스파탐",
이상헌 탁주,"25,000",500ml,탁주,19,2,3,3,,3,,,,샐러드,"아산쌀, 국(국내산 밀누룩), 정제수",이가수불
이화백주,"12,000",940ml,탁주,6,3,3,3,,4,,,,"갈비찜, 해물파전, 보쌈, 족발","정제수, 쌀(국내산), 누룩, 설탕, 물엿, 밀, 아스파탐",이화백주
이화주,"6,500",100ml,탁주,8,4,1,5,,0,,,,,"쌀(국내산 경기미 100%), 누룩, 정제수",술샘
인천 생 소성주,"1,200",750ml,탁주,6,1,2,2,,1,,,,생선회,"쌀, 팽화미, 정제수, 국, 효모, 아스파탐, 효소, 이소말토 올리고당",인천탁주
입장탁주,"1,200",750ml,탁주,7,2,2,2,,2,,,,버섯 전골류,국내산 쌀,(농) 입장주조㈜
자연담은 복분자막걸리,"56,000",360ml,탁주,6,2,1,1,,1,,,장어구이,"김부각, 가자미식해","국내산 복분자(고창), 정제수",(농)국순당고창명주㈜
자희향,"16,000",500ml,탁주,12,2,2,3,,1,,,,해물찜,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양
자희향 나비,"8,000",500ml,탁주,8,2,1,2,,2,,,,피자,"찹쌀(국내산), 멥쌀(국내산), 누룩(국내산), 정제수",자희자양
장수 생막걸리,"1,200",750ml,탁주,6,2,3,3,,3,,,,,"백미(국내산), 말토올리고당, 홍삼분말",서울장수주식회사
장홍삼 장수 막걸리,"2,000",750ml,탁주,6,1,4,1,,3,,,,삼겹살,"백미,말토올리고당,홍삼분말",서울장수(주)
정고집 나주쌀 생막걸리,"1,200",750ml,탁주,6,3,3,3,,3,,,,홍어삼합,"쌀, 쌀가루(국내산), 조제종국, 정제효소, 젖산, 아스파탐, 아세셀팜칼",남도탁주
정고집 옛날 생동동주,"2,500",750ml,탁주,6,3,3,3,,4,,,,"두부김치, 부침개, 감자전","쌀, 쌀가루(국내산), 조제종국, 정제효소, 젖산, 아스파탐, 아세셀팜칼",
주산지 막걸리,"1,200",750ml,탁주,6,2,1,2,,2,,,,양념된 고기류,"쌀(국내산), 밀가루, 누룩, 입국, 효모, 고과당, 물엿, 아스파탐, 삭카린나트륨, 정제수",청송양조장
죽향 생 막걸리,"2,000",750ml,탁주,6,1,2,1,,4,,,,죽순무침,"쌀(국내산), 정제효소, 젖산, 효모, 아스파탐, 정제수",농업회사법인 (주)죽향도가
줄포 생막걸리,"1,200",750ml,탁주,6,2,2,2,,3,,,,전류,국내산 쌀,내변산(동진주조)
지란지교,"15,000",500ml,탁주,17,4,4,4,,1,,,,"육전, 떡볶이","찹쌀,멥쌀,전통누룩(밀),정제수",(유)친구들의 술 지란지교
